publication_number,filing_date,citation_publication_number
WO-2018053541-A1,20170919,US-2016189144-A1
US-10235651-B2,20171214,US-2017124547-A1
US-10289833-B2,20170526,US-9727867-B2
US-10579825-B2,20190902,US-2016284033-A1
US-10515204-B2,20180301,US-2016162903-A1
US-10515204-B2,20180301,US-9530137-B2
US-10142312-B2,20160222,US-2017046680-A1
WO-2019090005-A1,20181101,US-2017103468-A1
WO-2019146449-A1,20190115,WO-2017026544-A1
US-2017344624-A1,20160524,US-2017076330-A1
US-2017206804-A1,20160919,US-2017004703-A1
WO-2019088725-A1,20181101,KR-101755409-B1
US-9633296-B2,20160622,US-2016275390-A1
US-9633296-B2,20160622,US-2016292554-A1
US-9965770-B2,20170130,US-2016364744-A1
WO-2019019853-A1,20180627,CN-106230851-A
WO-2019123702-A1,20180725,WO-2017056436-A1
WO-2019240804-A1,20180614,US-2017103468-A1
KR-20190097994-A,20180214,KR-20170087700-A
KR-20190076846-A,20181119,KR-20170124053-A
US-10044690-B2,20160607,US-2017180961-A1
US-10303128-B2,20160729,US-2016285954-A1
US-10204265-B2,20170111,US-2016210602-A1
KR-20200006262-A,20180710,KR-20170099043-A
US-10548033-B2,20160812,US-9530137-B2
US-10579836-B1,20170831,US-2016188915-A1
US-10579836-B1,20170831,US-2016203667-A1
US-10579836-B1,20170831,US-2016371513-A1
US-10579836-B1,20170831,US-9595033-B2
WO-2017208110-A1,20170523,US-2016275483-A1
WO-2019198345-A1,20190220,WO-2017221313-A1
US-9619794-B2,20160304,US-2016189137-A1
WO-2018214835-A1,20180521,CN-105976231-A
WO-2018218854-A1,20171020,CN-106469369-A
US-10496763-B2,20181120,US-2016210602-A1
US-10530499-B2,20180910,US-9530137-B2
US-10081525-B2,20160923,US-2016210602-A1
TW-I659377-B,20170126,CN-105976231-A
US-10133460-B2,20160218,US-2016210602-A1
TW-I680423-B,20170126,CN-105976231-A
US-10438296-B2,20161018,US-2017091851-A1
US-2017103120-A1,20161220,US-2016210602-A1
US-10514706-B2,20180326,US-9940840-B1
US-10024682-B2,20170215,US-2017357972-A1
US-10262001-B2,20170927,US-9530137-B2
US-2018349998-A1,20180418,US-2017372420-A1
WO-2019027453-A1,20170802,WO-2017098519-A1
US-9971984-B2,20160712,US-2017091837-A1
US-9971984-B2,20160712,US-9928529-B2
US-2018157884-A1,20161207,US-2016253656-A1
US-2018210405-A1,20180323,US-2017003666-A1
US-10037507-B2,20170417,US-2016275390-A1
US-10037507-B2,20170417,US-2016292554-A1
US-10037507-B2,20170417,US-2016371576-A1
US-10037507-B2,20170417,US-9626610-B2
US-10037507-B2,20170417,US-9646237-B2
US-10037507-B2,20170417,US-9710743-B2
US-10497148-B2,20180115,US-2016210602-A1
US-10467683-B2,20161205,US-2017024797-A1
US-10467683-B2,20161205,US-2017083966-A1
US-10262251-B2,20171101,US-2016275390-A1
US-10262251-B2,20171101,US-2016292554-A1
US-10262251-B2,20171101,US-2016371576-A1
US-10262251-B2,20171101,US-9626610-B2
US-10262251-B2,20171101,US-9646237-B2
US-10262251-B2,20171101,US-9710743-B2
US-10403044-B2,20170721,US-2016253843-A1
US-10423981-B2,20180315,US-9998245-B2
US-10477393-B2,20180627,US-9530137-B2
US-10272317-B2,20170315,US-9819561-B2
US-10592386-B2,20181026,US-2017011105-A1
US-10552942-B2,20170908,US-2016313889-A1
US-10162970-B2,20180205,US-2016248795-A1
KR-20190108701-A,20180315,KR-20180022512-A
US-10192209-B2,20160915,US-2017004479-A1
KR-101945705-B1,20171110,JP-6234540-B1
KR-101962363-B1,20180705,KR-20170082294-A
US-D808404-S,20160331,US-2016210602-A1
WO-2019198711-A1,20190409,WO-2016168120-A1
US-10409783-B1,20180606,US-2017213210-A1
US-10351399-B2,20180212,US-2016210602-A1
US-10148646-B2,20160720,US-2016162903-A1
US-10148646-B2,20160720,US-2016162902-A1
US-10417356-B1,20160616,US-2016210602-A1
US-10474833-B2,20190213,US-2017187758-A1
US-10453475-B2,20170214,US-2018052922-A1
US-10069917-B2,20170301,US-2016217258-A1
KR-102019547-B1,20170710,KR-101754734-B1
US-10362160-B2,20180205,US-9888107-B2
US-10438209-B2,20160331,US-2017046680-A1
CN-107944285-B,20171130,CN-107016606-A
CN-106980756-A,20170314,CN-105868977-A
US-9974111-B1,20170106,WO-2016144784-A1
WO-2019011805-A1,20180706,US-2017068551-A1
WO-2018028289-A1,20170607,CN-106297010-A
KR-20200006269-A,20180710,KR-20170099043-A
KR-20190021792-A,20170824,KR-20160021436-A
KR-101969778-B1,20180104,KR-101624959-B1
US-10384584-B2,20180125,US-2016247212-A1
KR-102008696-B1,20190327,KR-20180047489-A
US-10469263-B2,20170214,WO-2017066002-A1
US-10572864-B2,20170609,US-9530137-B2
JP-2019023776-A,20170721,KR-20170041125-A
US-9971996-B2,20170612,US-9547856-B2
US-10091211-B1,20180410,US-9444812-B1
US-2019100146-A1,20171002,US-2017053331-A1
US-10204227-B2,20170419,US-9530137-B2
KR-20190123610-A,20180424,KR-101716403-B1
TW-I678908-B,20180601,CN-105976231-A
WO-2019095884-A1,20180930,CN-106096882-A
WO-2018161268-A1,20170308,CN-106204209-A
US-10549201-B2,20181015,US-2017072318-A1
KR-102012758-B1,20180228,KR-101749242-B1
KR-20190019386-A,20170817,KR-101676344-B1
KR-20190106087-A,20180307,KR-20170096509-A
CN-109160161-A,20180712,WO-2017041145-A1
WO-2018072617-A1,20171009,CN-105913277-A
US-9901830-B1,20170526,US-2017072318-A1
WO-2017215231-A1,20161223,CN-105844762-A
RU-2708344-C1,20181107,WO-2018115567-A1
US-10496965-B2,20180719,US-9530137-B2
KR-102077805-B1,20181126,KR-20170082294-A
US-10057249-B2,20160720,US-2016162903-A1
US-10057249-B2,20160720,US-2016162902-A1
US-10289992-B1,20160617,US-2016335613-A1
US-10289992-B1,20160617,US-2017083901-A1
US-10380513-B2,20160902,US-2016155069-A1
US-10380513-B2,20160902,US-2017249573-A1
US-10380513-B2,20160902,US-2017262422-A1
US-10380513-B2,20160902,US-2017262776-A1
US-2016203457-A1,20160108,US-2017039542-A1
US-10552828-B2,20160126,US-9530137-B2
US-10181111-B1,20160112,US-2017200218-A1
US-10339516-B2,20160107,US-2016203453-A1
US-10520952-B1,20180615,US-9940840-B1
US-10019723-B2,20170802,US-2016292737-A1
KR-20200006252-A,20180710,KR-20170099043-A
US-10528369-B2,20170125,KR-20160023754-A
US-10524165-B2,20170622,US-2017083966-A1
KR-102081293-B1,20180213,KR-101723467-B1
WO-2019173473-A1,20190306,US-2017003666-A1
WO-2019024500-A1,20180307,CN-105976231-A
US-10298593-B2,20180613,US-2016285954-A1
WO-2019195821-A1,20190408,WO-2017066002-A1
CN-108366636-A,20170308,CN-106204209-A
KR-102011010-B1,20180105,KR-101729646-B1
US-10458171-B2,20160919,US-9845071-B1
US-10489687-B2,20170508,US-2018033066-A1
US-10298587-B2,20160620,US-2016253843-A1
WO-2018190473-A1,20170808,US-2016284033-A1
US-10239740-B2,20160304,US-2016210602-A1
US-10282602-B1,20180913,US-2016210602-A1
US-9965712-B2,20170424,US-2016275390-A1
US-9965712-B2,20170424,US-2016292554-A1
US-9965712-B2,20170424,US-2016371576-A1
US-9965712-B2,20170424,US-9626610-B2
US-9965712-B2,20170424,US-9646237-B2
WO-2019243359-A1,20190618,US-2017103468-A1
WO-2019104023-A1,20181120,US-9607201-B1
WO-2020005825-A1,20190624,WO-2017055119-A1
US-9646277-B2,20160425,US-2016275390-A1
US-9646277-B2,20160425,US-2016292554-A1
US-10164996-B2,20160310,US-9530137-B2
KR-102077749-B1,20190918,KR-20180027861-A
US-10494838-B2,20161123,US-9845071-B1
WO-2019182173-A1,20180321,US-2016284033-A1
WO-2019221551-A1,20190517,KR-20170026264-A
US-2019129729-A1,20171027,US-9876731-B2
US-10147253-B1,20170817,US-2017349142-A1
US-10296889-B2,20160503,WO-2017072589-A2
US-10296889-B2,20160503,US-2017357972-A1
US-10188890-B2,20180510,US-9819561-B2
US-10220259-B2,20160517,US-9819561-B2
KR-102062644-B1,20180618,KR-101807658-B1
US-2018374181-A1,20180726,US-2016292737-A1
RU-2701069-C1,20190109,RU-2620724-C1
US-10375125-B2,20170427,US-2016321347-A1
WO-2019208873-A1,20180718,KR-101755409-B1
WO-2018137475-A1,20180129,CN-105809520-A
US-10572785-B2,20180906,US-2016275390-A1
US-10572785-B2,20180906,US-2016292554-A1
US-10572785-B2,20180906,US-2016371576-A1
US-10572785-B2,20180906,US-9626610-B2
US-10572785-B2,20180906,US-9646237-B2
US-10572785-B2,20180906,US-9710743-B2
US-10021344-B2,20161221,US-2016210602-A1
CN-107122950-A,20170321,CN-106204209-A
CN-108154048-A,20161202,CN-105976231-A
CN-107818461-A,20171026,CN-106570692-A
US-2018374128-A1,20170623,US-2016267403-A1
KR-102080769-B1,20190515,KR-101729646-B1
US-10585758-B2,20161019,US-2016210602-A1
US-10110664-B2,20160225,US-2016210602-A1
US-10152229-B2,20180427,WO-2017072589-A2
US-10303258-B2,20161121,US-2016275483-A1
US-10430968-B2,20170314,US-2016210602-A1
WO-2020036689-A1,20190628,US-2017323280-A1
EP-3299935-A1,20170925,EP-3062280-A1
CN-108156503-A,20171214,CN-106228436-A
WO-2020010383-A1,20190712,WO-2017070469-A1
WO-2019221511-A1,20190515,KR-20170142645-A
WO-2019033635-A1,20171211,CN-106204240-A
US-10383198-B2,20160720,US-2018293593-A1
US-9595033-B2,20160202,US-2016188915-A1
US-9595033-B2,20160202,US-2016203667-A1
CN-107845171-A,20171113,CN-106740680-A
US-10535093-B2,20180828,US-2017039571-A1
US-10515335-B2,20190128,US-2017124547-A1
RU-2664402-C1,20170621,WO-2017066002-A1
KR-20190114603-A,20180330,KR-20180017597-A
US-10187424-B2,20160607,US-2016248795-A1
WO-2020013496-A1,20190701,KR-20170013835-A
WO-2019200088-A1,20190411,WO-2017041145-A1
WO-2018114455-A1,20171212,US-2016210602-A1
WO-2019139753-A1,20181219,US-2017116572-A1
WO-2019153490-A1,20180412,CN-105976231-A
US-2018075405-A1,20170911,US-2016328767-A1
KR-20190105164-A,20180221,KR-101749242-B1
KR-101954952-B1,20171101,KR-20170086354-A
KR-101895479-B1,20180119,KR-20170026264-A
US-10027648-B2,20170728,US-2016321649-A1
US-10080132-B2,20160328,US-2016300201-A1
KR-20200006250-A,20180710,KR-20170099043-A
US-10147135-B2,20180404,US-2016210602-A1
WO-2018126344-A1,20170103,CN-106230851-A
WO-2018076762-A1,20170630,CN-105976231-A
US-10511692-B2,20170622,US-2017083966-A1
US-10601665-B2,20170726,US-2017103468-A1
US-9992022-B1,20171218,WO-2017066002-A1
US-10523625-B1,20170309,US-10148910-B2
WO-2018204822-A1,20180504,WO-2017070469-A1
CN-108109022-A,20161125,CN-105976233-A
CN-107392622-A,20160517,CN-105550831-A
CN-108011370-A,20171227,CN-106296359-A
CN-109495437-A,20180828,US-2017270428-A1
CN-109583183-A,20181203,CN-107679045-A
US-D808405-S,20160331,US-2016210602-A1
US-10194398-B2,20180726,US-9578027-B1
WO-2019133910-A1,20181228,US-2016217258-A1
WO-2019094058-A1,20180815,WO-2017100755-A1
US-9953344-B2,20160429,US-2016205159-A1
US-9947015-B1,20170505,US-2016132704-A1
CN-107139211-A,20170526,CN-106560859-A
WO-2018165668-A1,20180312,US-2017103468-A1
US-10176642-B2,20170306,US-2016253745-A1
US-10129238-B2,20160222,US-2017046680-A1
US-10049353-B2,20170821,US-9530137-B2
US-10298575-B2,20161208,US-2016217258-A1
US-10355910-B1,20181204,US-2016143004-A1
US-10469888-B2,20170111,US-2016205159-A1
US-10469888-B2,20170111,US-9998245-B2
US-10261952-B1,20160608,US-2016328715-A1
US-10255768-B2,20170912,US-9530137-B2
US-10239738-B2,20160304,US-2016210602-A1
US-9619843-B2,20160211,US-2016162999-A1
US-9619843-B2,20160211,US-2016162997-A1
US-D845986-S,20180212,US-2018308143-A1
WO-2018125989-A3,20171228,WO-2017066002-A1
WO-2019010068-A1,20180628,WO-2017098519-A1
WO-2019017383-A1,20180718,JP-2017138721-A
WO-2018097653-A1,20171124,US-2016328715-A1
WO-2019075186-A1,20181011,US-2016284033-A1
WO-2018134813-A1,20180116,US-2016275543-A1
CN-106601277-A,20161102,CN-105930691-A
CN-109616214-A,20181122,CN-106204209-A
CN-107566381-A,20170912,CN-106296359-A
US-2016275482-A1,20160530,US-2016275483-A1
KR-101731626-B1,20160831,US-2016155069-A1
KR-102046925-B1,20190530,KR-20170092768-A
WO-2018194736-A1,20180122,US-2016275483-A1
US-9896315-B2,20160304,US-2016210602-A1
WO-2019169608-A1,20180308,CN-107169815-A
WO-2018232708-A1,20170622,CN-105956028-A
EP-3459026-A4,20180613,WO-2017166877-A1
CN-107274167-B,20170512,CN-106355464-A
CN-107369074-A,20170726,CN-106056439-A
US-10318938-B2,20160222,US-2017046680-A1
KR-101872730-B1,20170604,KR-101729678-B1
US-10261325-B2,20170621,US-2016253843-A1
US-2018077677-A1,20160915,US-2017004529-A1
EP-3564873-A1,20180712,US-2017103468-A1
US-10574784-B2,20170315,US-2017091837-A1
US-10574784-B2,20170315,US-9928529-B2
KR-20190032936-A,20170920,KR-20170082294-A
WO-2019218335-A1,20180518,CN-108022140-A
WO-2019135754-A1,20180104,WO-2016194275-A1
US-10460330-B1,20180809,US-2017178245-A1
US-10258093-B2,20160419,US-2017027248-A1
US-9563890-B2,20160530,US-2016275483-A1
US-10561461-B2,20181217,WO-2017197625-A1
US-10080048-B2,20160826,US-2016189137-A1
US-10346840-B2,20181206,US-2017116603-A1
US-10229392-B2,20160810,US-2016210602-A1
US-10137777-B2,20170119,US-9576285-B2
US-10361856-B2,20170623,US-9530137-B2
KR-101911328-B1,20171213,KR-101779503-B1
US-10395128-B2,20180223,US-2017357972-A1
US-10534533-B2,20161222,US-2018060928-A1
US-10584526-B2,20190110,US-9845071-B1
US-10409858-B2,20161129,US-2017180961-A1
KR-20200006312-A,20180710,KR-20170099043-A
US-10382568-B2,20160812,US-2016321278-A1
US-10419529-B2,20181106,US-9530137-B2
WO-2019222147-A1,20190514,WO-2016151316-A1
WO-2018208669-A1,20180507,US-2016248795-A1
US-10304033-B2,20170911,US-2016328767-A1
KR-102043398-B1,20180221,KR-101749242-B1
US-2017309273-A1,20170420,US-2018040046-A1
KR-20200006274-A,20180710,KR-20170099043-A
US-10484190-B2,20180222,US-2016301979-A1
US-10524268-B2,20180508,US-2016300201-A1
US-10572778-B1,20190315,US-2017039571-A1
KR-20190054861-A,20180105,KR-101729646-B1
KR-20180076811-A,20161228,KR-101687515-B1
CN-108020718-A,20171127,WO-2016138556-A1
CN-107135387-A,20170505,CN-105913277-A
FR-3069076-A1,20170713,US-2017068551-A1
US-9854426-B1,20161017,US-9563890-B2
US-9854426-B1,20161017,US-9576285-B2
US-9801517-B2,20160304,US-2016210602-A1
WO-2019103707-A1,20180412,WO-2017066002-A1
WO-2019161040-A1,20190214,US-2017103468-A1
US-2017200177-A1,20170111,US-2016328692-A1
US-10037647-B1,20170614,WO-2016153238-A1
TW-I623897-B,20170126,US-2017011396-A1
US-10559210-B2,20180626,US-2018128638-A1
US-10445915-B1,20190409,KR-101803006-B1
US-10467241-B2,20170324,US-2017012893-A1
CN-107819770-A,20171115,WO-2017066002-A1
CN-107294706-B,20170609,CN-106067849-A
US-10412573-B2,20180806,US-2016321666-A1
US-10412573-B2,20180806,US-2016321649-A1
CN-107220825-A,20170517,CN-106056439-A
CN-107393152-A,20170814,CN-106710071-A
CN-107330398-A,20170627,CN-106127564-A
US-D872761-S,20180223,US-10372305-B2
WO-2017166941-A1,20170217,CN-105809520-A
WO-2018201798-A1,20180309,CN-105976231-A
WO-2018201291-A1,20170502,CN-106372834-A
WO-2019179382-A1,20190318,US-2016217454-A1
WO-2020037933-A1,20181229,CN-106710071-A
US-9613373-B2,20160629,US-2016155185-A1
WO-2018147806-A1,20180208,US-2016284033-A1
WO-2019222758-A1,20190520,US-2017228965-A1
WO-2017166535-A1,20160712,CN-105894352-A
WO-2017166535-A1,20160712,CN-105894353-A
US-9665865-B1,20170131,US-2016275483-A1
US-9665865-B1,20170131,US-2016275482-A1
US-9665865-B1,20170131,US-2017076272-A1
WO-2018207057-A1,20180502,US-2017076272-A1
WO-2019151620-A1,20181112,KR-101734915-B1
US-10558713-B2,20181002,US-2016210602-A1
US-10586062-B1,20161122,WO-2017098519-A1
KR-20190100581-A,20180221,KR-20170106684-A
US-10585496-B2,20170817,US-2016275576-A1
KR-101984071-B1,20181010,KR-101689637-B1
KR-102051835-B1,20190329,KR-101643720-B1
US-10158552-B2,20160812,US-9530137-B2
WO-2019198845-A1,20180413,WO-2017066002-A1
US-9662586-B1,20170111,US-2017072318-A1
US-9858168-B2,20161111,US-2016248795-A1
WO-2018156390-A1,20180213,WO-2017066002-A1
WO-2018200342-A1,20180420,US-2016155069-A1
WO-2019216528-A1,20190211,KR-20170107581-A
WO-2018227341-A1,20170612,CN-105979368-A
WO-2018125881-A1,20171227,US-2016328767-A1
US-9652808-B2,20160211,US-2016162997-A1
US-9652808-B2,20160211,US-2016162998-A1
WO-2018032955-A1,20170728,CN-106296367-A
CN-106682942-A,20161230,CN-105894352-A
CN-108249005-A,20180110,JP-6105135-B1
WO-2018217950-A3,20180523,US-2017116603-A1
WO-2019192119-A1,20180813,CN-107016606-A
US-9877153-B1,20161018,US-2016132891-A1
US-9900145-B2,20160519,US-2016234193-A1
WO-2019018611-A1,20180719,WO-2017041145-A1
WO-2019148019-A1,20190125,WO-2017075498-A1
US-10563436-B2,20181121,US-9845071-B1
US-10212254-B1,20160722,US-2016253659-A1
US-10212254-B1,20160722,US-9547856-B2
TW-I665628-B,20180126,CN-105550832-A
US-10592932-B2,20160905,WO-2018088584-A1
US-10460415-B2,20170410,US-2017068551-A1
US-10515350-B2,20160825,US-2016253656-A1
US-10515350-B2,20160825,US-2016321666-A1
US-10515350-B2,20160825,US-2016321649-A1
US-10242390-B2,20170731,US-2016210602-A1
US-10319150-B1,20170515,US-9519932-B2
US-10445698-B2,20170630,US-2017103468-A1
US-10535199-B1,20180618,US-2016210602-A1
US-10140470-B2,20160222,US-2017046680-A1
US-10264056-B2,20161208,US-2016217258-A1
CN-107634998-A,20170914,CN-106097590-A
CN-107634998-A,20170914,CN-106740680-A
CN-107274270-A,20170620,CN-106408238-A
CN-106878396-A,20170119,CN-105976231-A
CN-106534097-A,20161027,CN-105976231-A
US-10043186-B2,20170829,US-9530137-B2
US-10474834-B1,20190604,WO-2017066002-A1
US-10127786-B1,20170710,US-2016248795-A1
US-10275740-B2,20171101,US-2018005173-A1
US-10552461-B2,20160916,US-2016260162-A1
US-10496808-B2,20171012,US-2017357972-A1
US-10467784-B2,20190314,US-2017084063-A1
US-10467784-B2,20190314,US-9852530-B2
US-10375474-B2,20170612,US-2016321347-A1
US-10264679-B2,20160412,US-2017004703-A1
US-10315897-B2,20161007,US-2016210602-A1
DE-102018206526-A1,20180426,US-9940840-B1
CN-106559211-A,20161122,CN-105976231-A
WO-2020033952-A1,20190812,WO-2016112099-A1
WO-2019108448-A1,20181121,US-2016284033-A1
US-2017270510-A1,20160825,US-2016253656-A1
US-2017270510-A1,20160825,US-2016321666-A1
US-2017270510-A1,20160825,US-2016321649-A1
US-10055714-B2,20170413,US-9563890-B2
US-10055714-B2,20170413,US-9576285-B2
US-10055714-B2,20170413,US-9704151-B2
US-10339520-B2,20170911,US-9530137-B2
KR-102057328-B1,20171205,KR-101678521-B1
US-10289642-B2,20160606,US-2016248795-A1
KR-20200006330-A,20180710,KR-20170099043-A
US-10341344-B2,20180622,US-2017039571-A1
US-10293784-B2,20180306,US-2016132053-A1
US-10467559-B1,20170929,US-2016335613-A1
US-10467559-B1,20170929,US-9576285-B2
US-10467559-B1,20170929,US-2017083901-A1
US-10552792-B2,20171227,US-2016328767-A1
US-10412223-B2,20181101,US-2017068551-A1
US-10243958-B2,20170109,US-9530137-B2
US-10402068-B1,20160616,US-2016210602-A1
KR-20190091120-A,20180126,KR-20170086873-A
CN-106548350-A,20161117,WO-2016178225-A1
EP-3503001-A1,20171220,US-2016132704-A1
JP-2018526947-A,20160728,WO-2016151316-A1
CN-109043861-A,20180713,CN-108022121-A
CN-108282747-A,20171228,CN-106352884-A
US-2018189724-A1,20171227,US-2016328767-A1
US-10223571-B2,20170711,US-2017357972-A1
US-10248952-B2,20161028,US-9530137-B2
US-10297255-B2,20170123,US-2016353240-A1
US-10311420-B1,20160617,US-2016335613-A1
US-10311420-B1,20160617,US-2017083901-A1
US-9908760-B2,20160304,US-2016210602-A1
WO-2018083638-A1,20171103,US-2016275483-A1
WO-2018083638-A1,20171103,US-2017076272-A1
US-9626610-B2,20160615,US-2016275390-A1
US-9626610-B2,20160615,US-2016292554-A1
US-10499010-B2,20181107,US-10148910-B2
TW-I627839-B,20170224,CN-106204187-A
CN-107010095-A,20170310,CN-106372889-A
CN-107846278-B,20171030,CN-105976231-A
CN-107866072-A,20171031,CN-106991425-A
US-10516709-B2,20170629,US-2016321347-A1
CN-108494801-A,20180518,CN-106296359-A
CN-107133437-A,20170303,CN-105868977-A
WO-2019160996-A1,20190213,US-2017003846-A1
WO-2019099743-A1,20181115,US-2016247212-A1
US-9838395-B2,20170417,US-2016285954-A1
US-9838395-B2,20170417,US-2017187758-A1
WO-2020003733-A1,20190426,WO-2017026544-A1
WO-2018201292-A1,20170502,CN-106372834-A
US-D813905-S,20170213,US-2016210602-A1
DE-102017102353-B4,20170207,DE-102016112911-A1
IT-201700118804-A1,20171020,US-2017011407-A1
WO-2019014027-A1,20180703,US-2016292798-A1
WO-2018228338-A1,20180611,CN-105976231-A
WO-2018228338-A1,20180611,US-2017103468-A1
US-10268851-B2,20170908,US-2016132891-A1
US-10017322-B2,20170328,US-2016210602-A1
KR-20200007331-A,20180712,KR-20170141568-A
US-10310802-B2,20160330,US-2016210602-A1
RU-2694001-C2,20171124,US-2016155070-A1
WO-2018237378-A1,20180625,US-2016253634-A1
WO-2018059854-A1,20170828,US-2016284033-A1
US-10251079-B2,20160812,US-9530137-B2
KR-102006960-B1,20180309,KR-20160101688-A
US-10038563-B2,20170809,US-9530137-B2
US-10049314-B2,20170626,US-2016275390-A1
US-10049314-B2,20170626,US-2016292554-A1
US-10049314-B2,20170626,US-2016371576-A1
US-10049314-B2,20170626,US-9626610-B2
US-10049314-B2,20170626,US-9646237-B2
US-10049314-B2,20170626,US-9710743-B2
US-10376308-B2,20160205,WO-2017197625-A1
US-10534122-B2,20170419,US-2016328767-A1
US-10375375-B2,20170818,US-2016210602-A1
US-10483903-B2,20170804,US-2016307413-A1
KR-20190103629-A,20180228,KR-20170110342-A
US-10084988-B2,20170322,US-2016210602-A1
US-10269003-B2,20170721,JP-6278481-B2
US-10313321-B2,20160407,US-9530137-B2
EP-3468130-A1,20171006,WO-2017072647-A1
US-10372998-B2,20170808,US-2018033066-A1
US-10222961-B2,20160819,US-2016210602-A1
US-10152840-B2,20170315,US-2017032288-A1
WO-2017115198-A1,20161214,US-2016275483-A1
WO-2017115198-A1,20161214,US-2016275482-A1
US-9990830-B2,20161006,US-2016162863-A1
WO-2019155554-A1,20180207,JP-2017188023-A
KR-101898665-B1,20170517,KR-101669882-B1
KR-20170133896-A,20160527,KR-20160022850-A
US-10296882-B2,20161208,US-2016217258-A1
US-10304094-B2,20180228,US-2017091837-A1
US-10304094-B2,20180228,US-9928529-B2
WO-2019101111-A1,20181121,CN-106097590-A
WO-2019033097-A1,20180813,US-2016275483-A1
WO-2017198184-A1,20170518,CN-106022880-A
WO-2019212129-A1,20190211,KR-20170107581-A
FR-3084506-A1,20180730,US-9940840-B1
WO-2019014523-A1,20180713,WO-2017098519-A1
US-9948582-B2,20170119,US-2017171047-A1
WO-2019191688-A1,20190329,US-2017103468-A1
WO-2018217804-A1,20180522,US-2017103468-A1
WO-2019172488-A1,20180718,KR-101755409-B1
WO-2018218679-A1,20170602,CN-106372834-A
US-9883110-B2,20160506,US-2016253843-A1
WO-2019166303-A1,20190220,WO-2017072589-A2
WO-2019005322-A1,20180522,EP-3062281-A1
WO-2019014496-A1,20180712,US-2016210602-A1
US-9749140-B2,20170417,US-2016284033-A1
US-9749140-B2,20170417,WO-2017066002-A1
US-10039113-B2,20160328,US-2016300201-A1
US-10356618-B2,20180226,US-2017213305-A1
US-9754397-B1,20170407,US-2016253745-A1
CN-107341655-A,20170712,CN-106127564-A
EP-3522082-A1,20190201,EP-3267387-A1
US-10116667-B2,20160222,US-2017046680-A1
KR-20190040846-A,20171011,KR-20170087700-A
US-2019068605-A1,20170830,US-2017054820-A1
WO-2019165235-A1,20190222,US-2017103468-A1
US-9996869-B2,20160329,US-2016284008-A1
WO-2017129017-A1,20170118,CN-105741091-A
US-10554406-B1,20190604,WO-2017066002-A1
WO-2019011300-A1,20180712,CN-106560859-A
WO-2019007396-A1,20180705,CN-105976231-A
CN-107230012-A,20170504,CN-106204187-A
CN-107665457-A,20170927,CN-106408238-A
CN-108021865-B,20171103,CN-106204240-A
CN-106779943-A,20161215,CN-106203921-A
CN-107196989-B,20170321,CN-106230851-A
EP-3511886-A1,20190110,WO-2017041145-A1
US-9619842-B2,20160211,US-2016162999-A1
US-9619842-B2,20160211,US-2016162998-A1
US-D789963-S,20160331,US-2016210602-A1
US-D849996-S,20160616,US-2017011407-A1
US-10298597-B2,20171222,US-2016197942-A1
RU-2708952-C1,20180319,CN-106230851-A
WO-2020038351-A1,20190820,CN-108230075-A
WO-2018218860-A1,20171026,CN-105956028-A
WO-2019139455-A1,20190115,KR-20170096549-A
KR-101878282-B1,20161221,KR-101675820-B1
US-10579203-B2,20160929,US-2017200218-A1
US-10402397-B1,20180614,US-2016203453-A1
CN-106372461-A,20160831,US-2016182677-A1
CN-107079058-A,20161223,CN-105976231-A
US-10600111-B2,20161130,US-2016163000-A1
US-10291570-B2,20160215,US-2017230427-A1
US-10362047-B2,20180507,US-2016248795-A1
KR-20190129305-A,20180510,KR-20170099043-A
KR-102045223-B1,20190503,KR-20170026264-A
TW-I659382-B,20170126,CN-105976231-A
US-10026294-B2,20170301,US-2016210602-A1
CN-109222402-A,20181109,CN-107920880-A
CN-108229939-A,20171229,CN-105741091-A
WO-2018084867-A1,20161107,US-2016155069-A1
CN-108573381-A,20170309,CN-106296359-A
DE-102016118615-A1,20160930,US-2016284033-A1
CN-107411704-A,20170313,US-2017003666-A1
US-10438205-B2,20180109,US-2017357972-A1
US-10496989-B2,20160222,US-2017046680-A1
US-10157364-B1,20180223,US-2017200218-A1
US-9865262-B2,20160128,US-2016373553-A1
WO-2017219266-A1,20160622,CN-106134163-A
WO-2019222432-A1,20190515,WO-2017070469-A1
EP-3594765-A1,20190626,US-2018005173-A1
EP-3567540-A1,20190507,WO-2017098519-A1
US-10387801-B2,20160913,US-2016155070-A1
WO-2018233720-A1,20180627,CN-106355464-A
US-9875503-B2,20160304,US-2016210602-A1
US-10423938-B1,20170213,WO-2017066002-A1
US-10169004-B2,20170504,US-2016203538-A1
US-10169004-B2,20170504,US-2016203544-A1
US-10448197-B2,20171031,US-2016132891-A1
US-10459780-B2,20170429,US-2017171047-A1
US-10484178-B2,20180424,US-2018285879-A1
US-10523447-B2,20170224,US-2017103468-A1
US-10528959-B2,20190628,US-2016217515-A1
US-10185476-B2,20170822,US-2017180961-A1
US-10313289-B2,20180831,US-2017091837-A1
US-10313289-B2,20180831,US-9928529-B2
WO-2018232036-A1,20180613,US-2017103468-A1
WO-2018136517-A1,20180117,US-2016253843-A1
US-10189692-B2,20160930,US-2016210602-A1
US-10152733-B1,20170802,US-2017228831-A1
US-10484415-B1,20161216,US-2016189144-A1
US-10515248-B1,20180823,US-2018349974-A1
CN-107038242-B,20170424,CN-105976231-A
