publication_number,filing_date,citation_publication_number
US-2017187758-A1,20160816,US-9485301-B2
KR-102028667-B1,20180905,KR-101729646-B1
US-10552719-B2,20190305,US-2016275390-A1
US-10552719-B2,20190305,US-2016292554-A1
US-10552719-B2,20190305,US-2016371576-A1
US-10552719-B2,20190305,US-9626610-B2
US-10552719-B2,20190305,US-9646237-B2
US-10552719-B2,20190305,US-9710743-B2
US-10334054-B2,20171218,US-2017357972-A1
US-10599550-B2,20190628,US-2017011105-A1
US-2016314624-A1,20160425,US-2016253843-A1
KR-102005195-B1,20180928,KR-101723467-B1
US-10271082-B2,20161005,US-2017180961-A1
CN-106991834-B,20170518,CN-105844762-A
US-2017323481-A1,20170306,US-2016253745-A1
US-10491389-B2,20170714,US-9530137-B2
US-10373348-B2,20160805,US-2016210602-A1
TW-I646484-B,20170713,WO-2017098519-A1
US-10071892-B2,20160304,US-2016210602-A1
US-10134001-B2,20170327,US-2017091837-A1
US-10134001-B2,20170327,US-9928529-B2
US-10267068-B2,20180110,US-9845071-B1
WO-2019133657-A1,20181227,US-2017003666-A1
WO-2019045735-A1,20170831,US-2017068238-A1
US-10410628-B2,20180611,US-2017068551-A1
US-2017284903-A1,20170324,US-2016155069-A1
US-10536371-B2,20190226,US-2017091837-A1
US-10536371-B2,20190226,US-9928529-B2
US-10445691-B2,20170127,US-2018314991-A1
US-2017243195-A1,20170508,US-2017076272-A1
KR-101820309-B1,20170807,KR-101690736-B1
US-2017254554-A1,20160915,US-2016161138-A1
US-10560313-B2,20190626,US-2016155069-A1
US-10572932-B2,20170127,US-2018314991-A1
TW-I674543-B,20180817,WO-2017066002-A1
US-2019090174-A1,20170918,US-2017098231-A1
US-2019090174-A1,20170918,US-2018232788-A1
US-10498930-B2,20180525,US-2018174110-A1
US-10430042-B2,20160930,US-2016210602-A1
US-2018130194-A1,20161107,US-2017323158-A1
US-2018089914-A1,20170911,US-2017213210-A1
KR-102001179-B1,20181029,KR-20170114908-A
US-10581615-B2,20160918,US-2018285879-A1
KR-101992560-B1,20180104,JP-6234540-B1
US-10135817-B2,20160328,US-2016300201-A1
US-10163084-B2,20170622,US-2016217258-A1
US-10546283-B2,20160112,US-2017011396-A1
US-10083304-B2,20170228,US-2016155069-A1
RU-2707698-C1,20180723,US-2016314520-A1
RU-2659730-C1,20170419,US-2016218880-A1
US-10504103-B2,20160212,US-2016189137-A1
US-10261394-B2,20180705,US-2017180696-A1
US-10334462-B2,20160623,US-2016300201-A1
US-10269006-B2,20170113,US-9547856-B2
US-10520581-B2,20170509,US-9940840-B1
US-10476701-B2,20180322,US-2017103468-A1
US-10477148-B2,20170711,US-2016321347-A1
KR-102046402-B1,20180921,KR-20170017704-A
