publication_number,filing_date,cpc_code
US-2016292692-A1,20160614,G06Q30/06
US-2016292692-A1,20160614,G06Q30/06
US-2018167442-A1,20161208,G06Q30/06
US-2018060439-A1,20160825,G06Q30/06
US-2016155108-A1,20160205,G06Q30/06
US-2016155108-A1,20160205,G06Q30/06
KR-20170073508-A,20161214,G06Q30/06
KR-101799183-B1,20160224,G06Q30/06
US-2016284033-A1,20160322,G06Q30/06
US-2016246798-A1,20160429,G06Q30/06
US-2016246798-A1,20160429,G06Q30/06
KR-101746785-B1,20160714,G06Q30/06
KR-101746785-B1,20160714,G06Q30/06
TW-I576780-B,20160630,G06Q30/06
KR-20170096549-A,20160216,G06Q30/06
PT-3289548-T,20160422,G06Q30/06
US-2016342966-A1,20160803,G06Q30/06
US-2016350682-A1,20160809,G06Q30/06
US-2016350682-A1,20160809,G06Q30/06
KR-101815213-B1,20160809,G06Q30/06
KR-101815213-B1,20160809,G06Q30/06
SG-10201907128R-A,20160208,G06Q30/06
US-2018191662-A1,20161229,G06Q30/06
US-2016342690-A1,20160519,G06Q30/06
US-2016162999-A1,20160211,G06Q30/06
US-2016253659-A1,20160506,G06Q30/06
US-2016132704-A1,20160105,G06Q30/06
US-2016132704-A1,20160105,G06Q30/06
US-2018146061-A1,20161123,G06Q30/06
US-2018146061-A1,20161123,G06Q30/06
JP-WO2017065187-A1,20161012,G06Q30/06
KR-20180118116-A,20160304,G06Q30/06
KR-20180118116-A,20160304,G06Q30/06
KR-20170086305-A,20160118,G06Q30/06
US-2016132858-A1,20160119,G06Q30/06
US-2018063677-A1,20161214,G06Q30/06
US-2016344722-A1,20160802,G06Q30/06
US-2016344722-A1,20160802,G06Q30/06
US-2017287232-A1,20160331,G06Q30/06
US-2017287232-A1,20160331,G06Q30/06
US-2017134169-A1,20161118,G06Q30/06
US-2018240185-A1,20160812,G06Q30/06
US-2016253745-A1,20160211,G06Q30/06
KR-20160128966-A,20161028,G06Q30/06
US-10339579-B2,20160502,G06Q30/06
US-10339579-B2,20160502,G06Q30/06
US-10339579-B2,20160502,G06Q30/06
US-10233021-B1,20161102,G06Q30/06
KR-101690997-B1,20160611,G06Q30/06
US-2016292762-A1,20160607,G06Q30/06
TW-I676945-B,20160310,G06Q30/06
TW-I676945-B,20160310,G06Q30/06
KR-20170133633-A,20160526,G06Q30/06
KR-20170133633-A,20160526,G06Q30/06
US-2017228831-A1,20160913,G06Q30/06
US-2016292554-A1,20160308,G06Q30/06
US-2016292554-A1,20160308,G06Q30/06
KR-20170096509-A,20160216,G06Q30/06
KR-20170115772-A,20160408,G06Q30/06
JP-WO2017154193-A1,20160311,G06Q30/06
KR-101706889-B1,20160427,G06Q30/06
US-2016162863-A1,20160212,G06Q30/06
US-2018330392-A1,20160825,G06Q30/06
US-10332049-B2,20160301,G06Q30/06
US-10332049-B2,20160301,G06Q30/06
US-2016379191-A1,20160622,G06Q30/06
US-2018040046-A1,20160203,G06Q30/06
US-2016307264-A1,20160624,G06Q30/06
US-2017330276-A1,20160516,G06Q30/06
US-2017330276-A1,20160516,G06Q30/06
US-2017330276-A1,20160516,G06Q30/06
US-10339514-B2,20161027,G06Q30/06
US-2017036121-A1,20161020,G06Q30/06
US-2017036121-A1,20161020,G06Q30/06
US-2016210602-A1,20160331,G06Q30/06
US-2017352051-A1,20160602,G06Q30/06
US-2016328783-A1,20160718,G06Q30/06
US-2016163000-A1,20160216,G06Q30/06
US-2016358146-A1,20160819,G06Q30/06
US-2016358146-A1,20160819,G06Q30/06
KR-20170082733-A,20160107,G06Q30/06
KR-20170095055-A,20160212,G06Q30/06
KR-20180034912-A,20160928,G06Q30/06
KR-20180031452-A,20160920,G06Q30/06
US-2016162903-A1,20160217,G06Q30/06
US-2016162903-A1,20160217,G06Q30/06
US-2016371513-A1,20160830,G06Q30/06
US-2016210107-A1,20160308,G06Q30/06
US-2016210107-A1,20160308,G06Q30/06
US-2018005241-A1,20160325,G06Q30/06
US-2017132678-A1,20161118,G06Q30/06
