genres_num,budget_norm_mean,production_companies_num,budget,spoken_languages_weight,North America,production_countries_weight,production_companies_weight,budget_norm_max
0.375,0.03435040682563941,0.038461538461538464,0.07894736842105263,0.618512389095757,1.0,0.588706555082348,0.0211038961038961,0.17142857142857146
0.375,0.07442588145555205,0.11538461538461539,0.17105263157894737,0.7084540063439527,1.0,0.588706555082348,0.07995129870129869,0.37142857142857133
0.25,0.0,0.07692307692307693,0.0,0.618512389095757,1.0,0.588706555082348,0.47727272727272724,0.0
0.375,0.018320216973674353,0.038461538461538464,0.042105263157894736,0.618512389095757,1.0,0.588706555082348,0.3198051948051947,0.09142857142857144
0.5,0.06870081365127882,0.11538461538461539,0.15789473684210525,0.6698846136165127,1.0,0.588706555082348,0.5182629870129869,0.3428571428571429
0.25,0.06641078652956954,0.2692307692307693,0.15263157894736842,0.7084540063439527,1.0,0.6515471900408017,0.4139610389610389,0.3314285714285714
0.5,0.0,0.038461538461538464,0.0,0.6746885487059257,1.0,0.588706555082348,0.10024350649350648,0.0
0.375,0.04007547462991265,0.11538461538461539,0.09210526315789473,0.618512389095757,1.0,0.588706555082348,0.3104707792207792,0.2
0.375,0.06641078652956954,0.07692307692307693,0.15263157894736842,0.7033282765595551,1.0,0.7024451261280044,0.11525974025974021,0.3314285714285714
0.375,0.07099084077298812,0.07692307692307693,0.1631578947368421,0.618512389095757,1.0,0.588706555082348,0.1915584415584415,0.35428571428571426
0.25,0.0,0.11538461538461539,0.0,0.6746885487059257,1.0,0.6981862584507252,0.1931818181818181,0.0
0.25,0.050380596677604465,0.07692307692307693,0.11578947368421053,0.618512389095757,1.0,0.588706555082348,0.03409090909090909,0.25142857142857145
0.25,0.11221132896375542,0.15384615384615385,0.2578947368421053,0.6215004826920426,1.0,0.8225571075438546,0.44115259740259744,0.56
0.25,0.05954070516444164,0.15384615384615385,0.1368421052631579,0.618512389095757,1.0,0.6981862584507252,0.30681818181818177,0.29714285714285715
0.25,0.018892723754101677,0.07692307692307693,0.04342105263157895,0.618512389095757,1.0,0.7024451261280044,0.179788961038961,0.09428571428571428
0.25,0.004580054243418588,0.07692307692307693,0.010526315789473684,0.618512389095757,1.0,0.588706555082348,0.07264610389610389,0.022857142857142857
0.375,0.03435040682563941,0.11538461538461539,0.07894736842105263,0.618512389095757,1.0,0.588706555082348,0.4975649350649351,0.17142857142857146
0.375,0.06870081365127882,0.038461538461538464,0.15789473684210525,0.618512389095757,1.0,0.588706555082348,0.1635551948051948,0.3428571428571429
0.375,0.03463666021585308,0.07692307692307693,0.07960526315789473,0.618512389095757,1.0,0.588706555082348,0.42654220779220775,0.17285714285714285
0.25,0.0,0.07692307692307693,0.0,0.6746885487059257,1.0,0.588706555082348,0.05925324675324674,0.0
0.5,0.05725067804273235,0.23076923076923078,0.13157894736842105,0.6772169355950904,1.0,0.6981862584507252,0.672077922077922,0.2857142857142857
0.5,0.0,0.07692307692307693,0.0,0.618512389095757,1.0,0.588706555082348,0.03652597402597402,0.0
0.25,0.00412204881907673,0.07692307692307693,0.009473684210526316,0.618512389095757,1.0,0.588706555082348,0.1063311688311688,0.02057142857142857
0.125,0.0,0.07692307692307693,0.0,0.618512389095757,0.0,0.06153021413467552,0.1915584415584415,0.0
0.375,0.013740162730255762,0.038461538461538464,0.031578947368421054,0.618512389095757,1.0,0.588706555082348,0.10227272727272724,0.06857142857142857
0.25,0.0,0.038461538461538464,0.0,0.618512389095757,0.0,0.22321827441403344,0.045048701298701296,0.0
0.375,0.020610244095383645,0.8076923076923077,0.04736842105263158,0.09989426745736221,0.0,0.198379843345147,0.3486201298701298,0.10285714285714287
